# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = model_code_5x463_model
# start_datetime = 2026-03-04 06:24:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/lukew/AppData/Local/Temp/Rtmp6HfTLc/standata-35b4146417c6.json
# init = 2 (Default)
# random
#   seed = 1483992606
# output
#   file = C:/Users/lukew/AppData/Local/Temp/Rtmp6HfTLc/model_code_5.3-202603040024-2-21cdbe.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = C:/Users/lukew/AppData/Local/Temp/Rtmp6HfTLc/model_code_5.3-profile-202603040024-2-979bcf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --name=model_code_5.3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1,b2,sigma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50
-18.480657,0.73056693,0.5572036,3,7,0,19.470514,0.01326121,0.09109042,-0.69018789,0.98611432,-1.6707983,-1.3363623,-1.0100182,-1.3749918,-1.0345234,-1.2012784,-1.1744766,-0.92864266,-0.92706901,-0.98681637,-1.2754014,-0.99601807,-5.0094938,-0.97241333,-1.0431167,-0.91341499,-0.91576119,-1.2678038,-1.0963903,-3.2958385,-0.93312336,-0.99172078,-0.90495895,-1.4376629,-1.1160742,-0.96168505,-1.0304063,-1.2778359,-1.163357,-1.3620553,-0.91237304,-0.96018635,-0.91011296,-2.0878182,-0.90980333,-1.1494191,-0.97800483,-0.99304541,-1.5757747,-1.1189149,-0.98753353,-1.018611,-0.96762025,-2.0434165,-1.0319619,-0.940594,-0.90585309,-0.90511116,-1.0715105,-1.3788008
-16.812233,1,0.5572036,2,3,0,18.934698,-0.053453215,-0.22725616,-0.5955985,0.88807954,-1.9585591,-2.3057565,-0.99457559,-2.5962355,-1.0113147,-1.6192467,-1.4695735,-0.80259148,-0.82703292,-1.04365,-1.5585765,-0.80043423,-3.5035344,-0.99413597,-1.0177112,-0.80715007,-0.81821952,-1.6784873,-1.1374723,-2.5102771,-0.80208965,-0.80336407,-0.84479998,-1.9959973,-1.0752113,-0.88141466,-0.98210478,-1.1841818,-0.91894994,-2.1272238,-0.83381468,-1.1263849,-0.80043785,-1.2482338,-0.81003967,-1.6995239,-0.87613308,-1.2197982,-1.0416162,-1.1795387,-0.95925807,-0.98646133,-0.80674467,-0.91031601,-0.8226642,-0.82325548,-0.83320134,-0.87315616,-1.1716406,-0.81181355
-16.865511,0.9666938,0.5572036,3,7,0,18.448949,0.083835044,-0.27770866,-0.78349572,0.88240612,-1.5731402,-1.9691722,-0.88678585,-1.9891462,-1.0367528,-1.4242345,-1.3995966,-0.79517771,-0.8137151,-1.1512077,-1.3850479,-0.79470593,-4.9953774,-1.0074743,-0.89187649,-0.80208174,-0.80048618,-1.2888013,-1.0063205,-2.1804806,-0.79802977,-0.80089061,-0.89561831,-2.3116899,-0.93695566,-1.0127041,-1.152934,-1.4634148,-0.87835054,-2.0631762,-0.79601441,-0.98394516,-0.81228753,-1.4415662,-0.83965346,-1.2608308,-0.81567286,-1.2622169,-1.1417258,-1.2970715,-0.84962533,-0.83932905,-0.87212243,-1.2513131,-0.80456262,-0.84078724,-0.798424,-0.79700969,-1.318869,-0.80672738
-18.3735,0.78262518,0.5572036,3,7,0,20.151881,-0.007145868,-0.38996601,-0.67517863,0.87510387,-1.8234423,-2.6552278,-0.94813996,-2.8866135,-1.0357089,-1.7457288,-1.581321,-0.80607355,-0.79524056,-1.1799134,-1.6083649,-0.81049887,-3.5301754,-1.047677,-0.95089538,-0.78925639,-0.79827078,-1.6337616,-1.0999861,-1.9488707,-0.78558672,-0.7992068,-0.91429643,-2.4782965,-0.99111416,-0.94747644,-1.0818622,-1.3008211,-0.83963607,-2.4893168,-0.80663444,-1.1581054,-0.78653149,-1.0639483,-0.84140896,-1.7206642,-0.82446423,-1.4261534,-0.94162191,-1.2956751,-0.90338148,-0.89550815,-0.79884603,-0.8209163,-0.78640842,-0.81116034,-0.81915025,-0.85020544,-1.3391097,-0.9027187
-16.446878,0.98351496,0.5572036,3,7,0,19.329742,-0.12736946,0.031183141,-0.63575246,0.79457304,-2.231084,-1.8045234,-0.98050725,-1.9717139,-0.82211802,-1.4321165,-1.0754774,-0.69103209,-0.70688908,-0.7714286,-1.5250977,-0.73526955,-5.5211172,-0.75927401,-1.0440073,-0.69211682,-0.69322309,-1.5931159,-1.1527166,-4.4441288,-0.75629807,-0.8011328,-0.69242835,-1.424843,-1.170425,-0.71926883,-0.79350385,-1.0665136,-1.1500821,-1.4159708,-0.7494772,-0.78165883,-0.69188554,-1.9051594,-0.71359374,-1.4199136,-0.88758478,-0.81058664,-1.6616641,-0.92973675,-0.93826329,-1.0102394,-0.70662458,-1.6079235,-0.92164968,-0.70272371,-0.72372641,-0.7334966,-0.87546434,-0.94739119
-17.523922,0.92305932,0.5572036,3,7,0,18.952899,-0.16306744,0.1535436,-0.48344945,0.86940355,-2.3086898,-1.6348822,-1.0737451,-1.9327207,-0.90301136,-1.3618012,-1.1561724,-0.79999031,-0.80107013,-0.81367698,-1.4646088,-0.92131317,-4.1818907,-0.84122772,-1.1597695,-0.79086674,-0.79899944,-1.716582,-1.2067093,-4.5383608,-0.8149277,-0.82081056,-0.79940398,-1.205806,-1.2828051,-0.78102548,-0.81466491,-0.98501765,-1.2209245,-1.3794849,-0.85276583,-0.93582044,-0.79022543,-1.9374615,-0.83286565,-1.5508411,-1.0032012,-0.85348981,-1.5025846,-0.93985975,-1.0608699,-1.2025469,-0.78089103,-1.4535631,-1.0122043,-0.79403495,-0.81175719,-0.85306648,-0.87744381,-1.0580601
-15.576828,0.91593449,0.5572036,2,7,0,18.558105,-0.039049581,-0.079425265,-0.5429,0.75774154,-2.2661945,-2.1904955,-0.89807101,-2.5966336,-0.93806794,-1.5217813,-1.4952022,-0.64904512,-0.71004146,-0.88382196,-1.5272361,-0.69763704,-4.7790829,-0.87820873,-0.95345805,-0.64506219,-0.65434693,-1.762411,-1.0713319,-3.6891115,-0.64439015,-0.64188375,-0.66204333,-1.918212,-1.0520724,-0.71682352,-0.83567246,-1.124714,-0.87662163,-2.168227,-0.68190711,-1.0707508,-0.64156737,-1.6561778,-0.64202825,-1.7013861,-0.76801539,-1.0592968,-1.0814388,-1.0981923,-0.86466461,-0.94624999,-0.65702747,-1.0484923,-0.71095631,-0.68945591,-0.66671231,-0.71385133,-1.040408,-0.68096202
-17.612574,0.95329764,0.5572036,3,7,0,18.522171,-0.064098691,-0.20893346,-0.84943864,0.69741515,-2.0587402,-2.429182,-0.82757836,-2.3104343,-0.73069552,-1.7106882,-1.0434136,-0.58776087,-0.88200547,-0.84011146,-1.7208706,-0.57956723,-7.8556616,-0.67642953,-0.84253827,-0.55921502,-0.56070975,-1.4317161,-1.0712469,-3.7267344,-0.66893565,-0.77662488,-0.58702823,-2.2673484,-0.95538804,-0.75088871,-0.91570001,-1.3885972,-0.94371456,-1.7454631,-0.59471786,-0.60466433,-0.56069505,-1.6189792,-0.56092641,-1.2947758,-0.68554763,-0.88916568,-1.780761,-1.0374144,-0.73892522,-0.70837531,-0.63440097,-1.6153801,-0.71435658,-0.57125527,-0.60010002,-0.57451778,-1.0486686,-0.64133881
-16.621278,0.93539242,0.5572036,3,7,0,20.472847,-0.086491572,0.12717391,-0.38228073,0.80452113,-2.4535778,-1.7611576,-0.99161687,-2.2820063,-0.95888242,-1.3472969,-1.4408855,-0.76131824,-0.95473861,-0.79896703,-1.4249932,-0.95773671,-4.021152,-0.87619305,-1.0894708,-0.71259898,-0.73137206,-1.8710068,-1.1283861,-4.5542997,-0.70282902,-0.70368922,-0.70305463,-1.3742716,-1.2097023,-0.71004774,-0.76694144,-0.96581954,-1.0342643,-1.8140989,-0.76200717,-1.1682204,-0.70695018,-1.9926704,-0.72284084,-1.7476586,-0.89577451,-0.91784783,-1.1467138,-0.99062095,-0.99174885,-1.1812606,-0.70344597,-1.1915243,-0.83937681,-0.75081842,-0.72308908,-0.80059554,-0.89657593,-0.89592603
-16.121159,0.9784424,0.5572036,3,15,0,18.095394,-0.12269527,-0.13650752,-0.72131045,0.80673256,-2.0891716,-2.1742554,-0.97413047,-2.2639578,-0.83214274,-1.615538,-1.1135554,-0.71414744,-0.76874962,-0.85359164,-1.6336346,-0.70458558,-5.203754,-0.79052601,-1.0058604,-0.70842608,-0.7095485,-1.5831566,-1.1613372,-3.4911073,-0.76989894,-0.79798078,-0.70844329,-1.7455118,-1.1042094,-0.77253535,-0.86927361,-1.1511961,-1.0377592,-1.6072058,-0.75888147,-0.78869096,-0.70566858,-1.4800895,-0.70584419,-1.4801109,-0.85208403,-0.91858285,-1.5119651,-1.0005927,-0.91553064,-0.92982032,-0.72179941,-1.2625019,-0.84725806,-0.7111856,-0.75255728,-0.75295727,-0.98228108,-0.74697475
-16.019713,0.88888538,0.5572036,3,7,0,18.786285,-0.083707183,-0.095278969,-0.52751835,0.77117936,-2.3549384,-2.3388509,-0.95310353,-2.7871604,-0.91560809,-1.6190981,-1.4618629,-0.66062679,-0.73030509,-0.86937631,-1.6097644,-0.69262232,-4.2827114,-0.86729455,-1.0102045,-0.67167109,-0.68860576,-1.8766472,-1.1334481,-3.6417107,-0.66435504,-0.65958379,-0.67292303,-1.8482618,-1.1083883,-0.71169282,-0.81446544,-1.0643744,-0.90495972,-2.1283542,-0.71784861,-1.0713699,-0.66185068,-1.4964044,-0.65911888,-1.8371308,-0.80838587,-1.048062,-1.0799658,-1.0619243,-0.91939515,-1.0075571,-0.66351316,-0.92777634,-0.73530412,-0.69029683,-0.70053835,-0.76481559,-1.0114202,-0.66768541
-16.268887,0.9837371,0.5572036,3,7,0,17.172602,0.016121417,-0.072790797,-0.6817819,0.91991316,-1.7240964,-1.6482553,-0.95989525,-1.73861,-1.0165694,-1.3191526,-1.2799716,-0.84050023,-0.83884948,-1.0068466,-1.3494327,-0.86481741,-4.718487,-0.96431887,-0.98575476,-0.83810691,-0.83725021,-1.3527456,-1.0694677,-2.8922538,-0.84779932,-0.86035143,-0.85129894,-1.7295113,-1.0513757,-0.92871739,-1.0234475,-1.2849427,-1.0166003,-1.6667561,-0.8456494,-0.9770131,-0.84006702,-1.7298069,-0.83671873,-1.2693055,-0.89673973,-1.0647408,-1.3184959,-1.1565461,-0.93016629,-0.9510257,-0.88392161,-1.5029964,-0.89909014,-0.87292812,-0.84084583,-0.84283084,-1.1244871,-0.97936765
-17.026835,0.98348534,0.5572036,3,7,0,17.85089,0.078172141,-0.19001051,-0.66704992,0.68823761,-2.0049436,-2.3364211,-0.71898221,-2.5821416,-0.99933333,-1.5008618,-1.6886965,-0.55029875,-0.55674233,-1.0637917,-1.4656625,-0.56820571,-6.7084994,-0.93628461,-0.74671612,-0.55180979,-0.54729415,-1.5037356,-0.90545186,-3.2323654,-0.54546189,-0.54569579,-0.66835627,-2.7452928,-0.83112289,-0.80993407,-1.0216193,-1.482741,-0.69568994,-2.7090501,-0.55225861,-1.0356996,-0.56521889,-1.7769066,-0.59198954,-1.4547705,-0.59788631,-1.2897574,-1.003541,-1.3360195,-0.66968731,-0.68848841,-0.63751681,-1.220154,-0.56643969,-0.64418969,-0.55124198,-0.56220652,-1.31573,-0.59049283
-18.284686,0.5720223,0.5572036,3,7,0,20.798578,-0.085463318,-0.077865297,-0.86658758,0.75287056,-1.9394956,-1.8127039,-0.87636302,-1.6748467,-0.73858867,-1.4451461,-0.89236998,-0.64293308,-1.0871429,-0.76906588,-1.5421253,-0.63517948,-7.9441805,-0.68085,-0.90474804,-0.63832125,-0.64525046,-1.2779748,-1.0780954,-4.198691,-0.79728515,-1.0246364,-0.63528969,-1.6993375,-1.0278289,-0.7527161,-0.87107222,-1.3004396,-1.146698,-1.2680175,-0.66880099,-0.63675992,-0.63641252,-1.9739202,-0.64186693,-1.0893491,-0.78625387,-0.75719984,-2.1670202,-0.93888967,-0.80157915,-0.78771762,-0.71976869,-2.2616291,-0.90240305,-0.6435998,-0.66236107,-0.63819091,-0.91683047,-1.0115599
-16.486214,0.87128582,0.5572036,2,3,0,19.939406,-0.019063157,-0.2731681,-0.82174066,0.74438005,-1.882828,-2.4496566,-0.82760843,-2.4070148,-0.8386279,-1.6738641,-1.2263637,-0.64736846,-0.76371229,-0.98045906,-1.6286772,-0.64683748,-6.4894678,-0.80015186,-0.83435617,-0.62467008,-0.6247572,-1.4207105,-1.032221,-2.9076768,-0.66909352,-0.69862906,-0.69461488,-2.4463912,-0.91502233,-0.8431137,-1.0095322,-1.4172281,-0.84279237,-2.0248648,-0.6448567,-0.74401956,-0.62920294,-1.4083941,-0.64480611,-1.3553167,-0.69811232,-1.0830703,-1.3727104,-1.1577873,-0.75659113,-0.73030472,-0.69157178,-1.2561824,-0.68596196,-0.64606921,-0.65334788,-0.64099349,-1.1872963,-0.63435061
-17.616267,0.85147278,0.5572036,3,7,0,18.993236,-0.051278278,-0.20471065,-0.66575392,0.98379256,-1.7843943,-1.9973738,-1.0510436,-2.1352778,-1.0483052,-1.5213024,-1.3442232,-0.9052574,-0.90267612,-1.0786707,-1.4952199,-0.90259833,-3.5456638,-1.0259757,-1.0677486,-0.90428099,-0.90725695,-1.5182936,-1.1671384,-2.393791,-0.91171336,-0.90690184,-0.92905647,-1.8206816,-1.1187933,-0.9758751,-1.0578276,-1.2450933,-1.0281038,-1.8089474,-0.92579775,-1.0689217,-0.90261936,-1.3440761,-0.90711643,-1.4981022,-0.96515058,-1.1773599,-1.2059427,-1.1887076,-1.0182375,-1.0296205,-0.91579641,-1.1079836,-0.93636244,-0.91850368,-0.92527373,-0.93890824,-1.1827437,-0.90321381
-17.507331,0.92822428,0.5572036,3,7,0,20.248231,0.038355141,0.16439505,-0.4693293,0.70228959,-2.3522542,-1.4403399,-0.78799856,-1.8398872,-0.98075585,-1.1080828,-1.5105061,-0.72316313,-0.7431829,-0.74902258,-1.2351373,-1.0461537,-6.6673504,-0.83187462,-0.88594725,-0.56967719,-0.56598519,-1.5740158,-0.9342013,-5.4609163,-0.56605123,-0.56674048,-0.56590893,-1.5666049,-1.0294821,-0.62758069,-0.74865716,-1.1367018,-0.95174009,-1.9242574,-0.58389616,-1.0701143,-0.57020272,-2.9543203,-0.57380489,-1.3631684,-0.71567646,-0.85646265,-1.2718582,-1.052023,-0.77683976,-0.94337195,-0.62852767,-2.0426599,-0.72238075,-0.69492163,-0.56590334,-0.58517863,-0.90853827,-1.3155523
-18.836598,0.76313215,0.5572036,3,7,0,20.155806,-0.00053366338,0.24995291,-0.55042534,0.74382363,-2.1865689,-1.1721628,-0.83695806,-1.361658,-0.87646952,-1.0299853,-1.1420583,-0.75840612,-0.62992138,-0.70101596,-1.1967854,-1.068733,-7.3516939,-0.74149049,-0.93234157,-0.63183524,-0.63127986,-1.3672726,-0.97143448,-5.8628158,-0.65348335,-0.72148644,-0.63677291,-1.2460694,-1.087788,-0.6606012,-0.74862198,-1.1215983,-1.1751614,-1.3416661,-0.64345235,-0.79713276,-0.62608378,-3.2153571,-0.6658115,-1.1112193,-0.80401363,-0.71824681,-1.77437,-0.93323103,-0.81936261,-0.95902321,-0.70286837,-2.8264563,-0.91770698,-0.70678275,-0.62331654,-0.62650465,-0.81513178,-1.88265
-17.581827,0.99628762,0.5572036,3,15,0,19.771587,-0.082293886,0.21826679,-0.49753436,0.77333116,-2.3713331,-1.4112543,-0.9438249,-1.6973726,-0.86102651,-1.191841,-1.1537536,-0.73897832,-0.68929239,-0.71531152,-1.341673,-0.97975755,-5.7960967,-0.7580071,-1.04766,-0.66230228,-0.66376612,-1.6013135,-1.0872888,-5.5573688,-0.69444731,-0.72369297,-0.68340163,-1.1959129,-1.2009047,-0.67305871,-0.73196366,-1.0016757,-1.201286,-1.376238,-0.71225305,-0.85826108,-0.66327319,-2.6060386,-0.71935547,-1.3662687,-0.88926224,-0.75068321,-1.6308863,-0.90179741,-0.93077507,-1.0976083,-0.6853935,-2.0391088,-0.94885855,-0.70776414,-0.67355739,-0.69749994,-0.80527005,-1.3876412
-16.730271,0.98047742,0.5572036,3,7,0,19.380503,0.082338059,0.024626379,-0.46220512,0.92588044,-1.8141519,-1.5559889,-0.95116689,-1.8560158,-1.1489803,-1.2286007,-1.5856827,-0.90604244,-1.0329788,-1.0422221,-1.2561328,-1.0256522,-3.8520002,-1.0834143,-0.99285403,-0.84357891,-0.84204158,-1.4695827,-1.0366722,-2.9654979,-0.84721267,-0.86128828,-0.86486894,-1.7047571,-1.0547215,-0.91115119,-1.00353,-1.22438,-0.95656174,-1.9960469,-0.84806809,-1.298631,-0.84768282,-1.8772719,-0.8450639,-1.4114613,-0.89320319,-1.174827,-1.045118,-1.2272752,-0.94221359,-1.015256,-0.87479148,-1.2999901,-0.86712285,-0.93019689,-0.84224883,-0.8604176,-1.1564287,-0.99003818
-17.019821,0.85213322,0.5572036,3,7,0,19.060645,-0.091320537,-0.25107518,-0.67901491,0.72615246,-2.3003976,-2.9021904,-0.91316167,-3.1579487,-0.83171582,-1.9013367,-1.3753093,-0.6214493,-0.60255566,-0.91582422,-1.8176584,-0.60986705,-5.1171974,-0.80449693,-0.93785014,-0.60981176,-0.61971605,-1.8395628,-1.1465311,-3.2180555,-0.62445119,-0.60934376,-0.64767341,-2.3250318,-1.0300892,-0.7217659,-0.86690566,-1.1868958,-0.83525167,-2.2808708,-0.65951299,-0.87832937,-0.59999961,-1.2241911,-0.60663917,-1.8335343,-0.73059728,-1.1103868,-1.1564463,-1.0974209,-0.84379224,-0.85345379,-0.61083355,-0.8398531,-0.66273505,-0.61424232,-0.66483376,-0.69566756,-1.1032907,-0.61148123
